playerID	StageID	secID	sorted ID	type	totalIncome	adminTaskIncome	lossFAs	lossChecks	lossTADelays	lossMisses	monitoringLossTotal	numberOfUsefulChecks	numberOfUseLessChecks	numberOfChecksTotal	numberOfCheckIgnores	numberOfAttendedTAAlerts	numberOfAttendedFAAlerts	numberOfAttendedTAsTotal	numberOfAttendedTAsInCheck	numberOfAttendedMisses	numberOfClosedHighAlerts	numberOfClosedLowAlerts	numberOfAttendedHRAlerts	numberOfAttendedLRAlerts	numberOfDisplayedHRAlerts	numberOfDisplayedLRAlerts	proportionOfAttendedHRAlerts	proportionOfAttendedLRAlerts	denote
1	1	5	1	start	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1	1	5	1	card_correct	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1	1	5	1	card_correct	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1	1	5	1	card_correct	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1	1	5	1	TA_high_displayed	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	
1	1	5	1	TA_high_attended	12	12	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	1	-1	
1	1	5	1	ok_displayed	12	12	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	1	-1	
1	1	5	1	card_correct	16	16	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	1	-1	
1	1	5	1	card_correct	20	20	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	1	-1	
1	1	5	1	card_correct	24	24	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	1	-1	
1	1	5	1	TA_low_displayed	24	24	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	1	0	
1	1	5	1	TA_low_attended	24	24	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	1	1	1	1	1	1	
1	1	5	1	card_correct	28	28	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	1	1	1	1	1	1	
1	1	5	1	useless_check	18	28	0	-10	0	0	-10	0	1	1	0	2	0	2	0	0	0	0	1	1	1	1	1	1	
1	1	5	1	check_closed	18	28	0	-10	0	0	-10	0	1	1	0	2	0	2	0	0	0	0	1	1	1	1	1	1	
1	1	5	1	card_correct	22	32	0	-10	0	0	-10	0	1	1	0	2	0	2	0	0	0	0	1	1	1	1	1	1	
1	1	5	1	card_wrong	18	28	0	-10	0	0	-10	0	1	1	0	2	0	2	0	0	0	0	1	1	1	1	1	1	
1	1	5	1	TA_high_displayed	18	28	0	-10	0	0	-10	0	1	1	0	2	0	2	0	0	0	0	1	1	2	1	0.5	1	
1	1	5	1	TA_high_attended	18	28	0	-10	0	0	-10	0	1	1	0	3	0	3	0	0	0	0	2	1	2	1	1	1	
1	1	5	1	card_correct	22	32	0	-10	0	0	-10	0	1	1	0	3	0	3	0	0	0	0	2	1	2	1	1	1	
1	1	5	1	card_correct	26	36	0	-10	0	0	-10	0	1	1	0	3	0	3	0	0	0	0	2	1	2	1	1	1	
1	1	5	1	TA_high_displayed	26	36	0	-10	0	0	-10	0	1	1	0	3	0	3	0	0	0	0	2	1	3	1	0.666666667	1	
1	1	5	1	card_correct	30	40	0	-10	0	0	-10	0	1	1	0	3	0	3	0	0	0	0	2	1	3	1	0.666666667	1	
1	1	5	1	TA_high_attended	30	40	0	-10	0	0	-10	0	1	1	0	4	0	4	0	0	0	0	3	1	3	1	1	1	
1	1	5	1	card_correct	34	44	0	-10	0	0	-10	0	1	1	0	4	0	4	0	0	0	0	3	1	3	1	1	1	
1	1	5	1	card_correct	38	48	0	-10	0	0	-10	0	1	1	0	4	0	4	0	0	0	0	3	1	3	1	1	1	
1	1	5	1	card_correct	42	52	0	-10	0	0	-10	0	1	1	0	4	0	4	0	0	0	0	3	1	3	1	1	1	
1	1	5	1	TA_low_displayed	42	52	0	-10	0	0	-10	0	1	1	0	4	0	4	0	0	0	0	3	1	3	2	1	0.5	
1	1	5	1	card_correct	46	56	0	-10	0	0	-10	0	1	1	0	4	0	4	0	0	0	0	3	1	3	2	1	0.5	
1	1	5	1	TA_low_attended	46	56	0	-10	0	0	-10	0	1	1	0	5	0	5	0	0	0	0	3	2	3	2	1	1	
1	1	5	1	card_correct	50	60	0	-10	0	0	-10	0	1	1	0	5	0	5	0	0	0	0	3	2	3	2	1	1	
1	1	5	1	useless_check	40	60	0	-20	0	0	-20	0	2	2	0	5	0	5	0	0	0	0	3	2	3	2	1	1	
1	1	5	1	ok_displayed	40	60	0	-20	0	0	-20	0	2	2	0	5	0	5	0	0	0	0	3	2	3	2	1	1	
1	1	5	1	ok_closed	40	60	0	-20	0	0	-20	0	2	2	0	5	0	5	0	0	0	0	3	2	3	2	1	1	
1	1	5	1	card_missed	39	59	0	-20	0	0	-20	0	2	2	0	5	0	5	0	0	0	0	3	2	3	2	1	1	
1	1	5	1	card_correct	43	63	0	-20	0	0	-20	0	2	2	0	5	0	5	0	0	0	0	3	2	3	2	1	1	
1	1	5	1	TA_high_displayed	43	63	0	-20	0	0	-20	0	2	2	0	5	0	5	0	0	0	0	3	2	4	2	0.75	1	
1	1	5	1	TA_high_attended	43	63	0	-20	0	0	-20	0	2	2	0	6	0	6	0	0	0	0	4	2	4	2	1	1	
1	1	5	1	card_correct	47	67	0	-20	0	0	-20	0	2	2	0	6	0	6	0	0	0	0	4	2	4	2	1	1	
1	1	5	1	card_correct	51	71	0	-20	0	0	-20	0	2	2	0	6	0	6	0	0	0	0	4	2	4	2	1	1	
1	1	5	1	ok_displayed	51	71	0	-20	0	0	-20	0	2	2	0	6	0	6	0	0	0	0	4	2	4	2	1	1	
1	1	5	1	ok_closed	51	71	0	-20	0	0	-20	0	2	2	0	6	0	6	0	0	0	0	4	2	4	2	1	1	
1	1	5	1	FA_high_displayed	51	71	0	-20	0	0	-20	0	2	2	0	6	0	6	0	0	0	0	4	2	5	2	0.8	1	
1	1	5	1	FA_high_attended	27	71	-24	-20	0	0	-44	0	2	2	0	6	1	6	0	0	0	0	5	2	5	2	1	1	
1	1	5	1	card_correct	31	75	-24	-20	0	0	-44	0	2	2	0	6	1	6	0	0	0	0	5	2	5	2	1	1	
1	1	5	1	card_wrong	27	71	-24	-20	0	0	-44	0	2	2	0	6	1	6	0	0	0	0	5	2	5	2	1	1	
1	1	5	1	card_correct	31	75	-24	-20	0	0	-44	0	2	2	0	6	1	6	0	0	0	0	5	2	5	2	1	1	
1	1	5	1	ok_displayed	31	75	-24	-20	0	0	-44	0	2	2	0	6	1	6	0	0	0	0	5	2	5	2	1	1	
1	1	5	1	ok_closed	31	75	-24	-20	0	0	-44	0	2	2	0	6	1	6	0	0	0	0	5	2	5	2	1	1	
1	1	5	1	card_correct	35	79	-24	-20	0	0	-44	0	2	2	0	6	1	6	0	0	0	0	5	2	5	2	1	1	
1	1	5	1	card_correct	39	83	-24	-20	0	0	-44	0	2	2	0	6	1	6	0	0	0	0	5	2	5	2	1	1	
1	1	5	1	card_correct	43	87	-24	-20	0	0	-44	0	2	2	0	6	1	6	0	0	0	0	5	2	5	2	1	1	
1	1	5	1	TA_low_displayed	43	87	-24	-20	0	0	-44	0	2	2	0	6	1	6	0	0	0	0	5	2	5	3	1	0.666666667	
